Company,Company ID,Country,Country GDP $,Not IFRS,Industry group,ICB code,Industry description,Listing status,2009 R&D investment,1 Yr R&D investment growth%,4 Yr R&D investment growth%,R&D investment / operation profit%,R&D investment / sales%,R&D + capex / sales%,Operating profit,If made profit,1 Yr operating profit%,4 Yr operating profit%,Operating profit / sales%,Sales,1 Yr sales growth%,4 Yr sales growth%,Employees,1 Yr employees growth%,4 Yr employees growth%,R&D / employees ,1 Yr R&D / employees growth%,4 Yr R&D / employees growth%,Sales outside region%,Market cap,Market cap change%,If market cap increase,R&D spend 2008,R&D spend 2007,R&D spend 2006,R&D spend 2005
"Commerzbank, Germany",248,Germany,3260114884059.16,,4,8355,Banks,Listed,113.73,482,1363,,1.2,3.0,-4139,No,,-405,-42.6,9727,69,45,63267,61,81,1.8,261,764,,6385,2,Yes,19.55,11.55,0.00,0.00
"First Solar, USA",968,USA,14617299295858.1,*,2,583,Renewable energy equipment,Listed,48.40,133,445,11.6,3.8,17.3,418,Yes,55,371,32.7,1279,66,327,4700,33,147,10.3,75,74,93,6597,,No,20.76,9.36,3.94,1.47
"ACI Worldwide, USA",201,USA,14617299295858.1,*,37,9537,Software,Listed,47.99,111,83,185.3,19.1,19.8,26,Yes,138,21,10.3,251,21,19,2114,-2,6,22.7,115,72,,411,39,Yes,22.74,32.26,25.25,24.58
"Akka Technologies, France",638,France,2592078593347.73,,38,2791,Business support services,Listed,49.95,115,201,337.7,16.9,16.9,15,Yes,-9,43,5.0,296,-13,48,5110,-2,64,9.8,119,98,,116,11,Yes,23.25,31.54,7.63,4.05
"Altus Pharmaceuticals, USA",425,USA,14617299295858.1,*,34,4573,Biotechnology,Listed,50.40,93,170,,3767.0,4090.7,-61,No,,,-4589.9,1,-92,-81,145,-9,7,347.6,113,122,,0.5,-94,No,26.06,28.00,11.43,9.32
"ICAP, UK",230,UK,2427911661952.04,,11,8777,Investment services,Listed,49.00,75,173,25.1,3.0,4.1,195,Yes,-33,-15,12.0,1629,2,33,4502,6,25,10.9,65,128,,2549,-12,No,28.00,24.30,12.80,6.70
"CPFL Energia, Brazil",261,Brazil,2054224952705.78,*,16,7575,Multiutilities,Listed,55.42,97,109,7.1,1.0,8.9,782,Yes,-6,-3,14.0,5575,9,21,7450,5,15,7.4,89,86,,6916,24,Yes,28.06,41.03,23.34,13.50
"LTX-Credence, USA",115,USA,14617299295858.1,*,39,9576,Semiconductors,Listed,44.07,55,32,,51.8,58.3,-86,No,,,-100.6,85,1,-13,608,30,36,72.5,19,-3,,196,204,Yes,28.50,30.99,33.32,41.06
"China Railway, China",858,China,1565186460764.05,,7,2357,Heavy construction,FT Global 500,58.96,106,105,8.1,0.2,4.0,728,Yes,17,74,2.4,30249,48,81,276150,3,,0.2,100,,,6864,-30,No,28.66,27.76,29.93,
"Alkermes, USA",382,USA,14617299295858.1,*,34,4577,Pharmaceuticals,Listed,57.12,95,118,,51.7,60.6,-27,No,-133,-213,-24.3,110,-45,-27,570,0,-18,100.2,95,159,,798,43,Yes,29.35,22.14,26.52,26.74
