" RANKING OF TOP 1,000 GLOBAL COMPANIES BY R&D INVESTMENT WITHIN INDUSTRY"
,,,,,,,,,"2009 R&D investment",,,,,,"Operating profit",,,,"Sales and employees",,,,,,"R&D and employees",,,,,,Sales,,
,,,,,,,,,,Growth,,÷ operating,,R&D + capex,,Growth,,,Sales,,,Sales ÷ employees,,,Employees,,,R&D ÷ employees ,,,outside,Market cap,,R&D spend,,
,Country,Normalised,Foreign owned,Not IFRS,Industry group,ICB code,Industry description,Listing status,,1yr,4yr,profit,÷ sales,÷ sales,,1yr,4yr,÷ sales,,1yr,4yr,,1yr,4yr,,1yr,4yr,,1yr,4yr,region,,change,"2008","2007","2006","2005"
Company,,,,,,,,,£M,%,%,%,%,%,£M,%,%,%,£M,%,%,£000's,%,%,N,%,%,£000's,%,%,%,£M,%,£M,£M,£M,£M
1 Aerospace & defence (33),,,,,,,,,12918.19,-0.7,4.5,60.4,4.1,6.5,21390,-16.4,-3.0,6.7,317548,3.4,14.4,207.2,5.8,12.0,1532324,-2.3,2.4,8.4,1.5,3.8,,214060,14.1,13014.59,12902.59,12209.26,9959.76
"EADS, The Netherlands",The Netherlands,,,,1,2713,Aerospace,FT Global 500,2557.09,4,8,,6.7,10.7,-409,-117,-134,-1.1,38047,-1,10,318.4,-2,7,119506,1,3,21.4,3,5,50,11615,18,2448.69,2399.82,2549.09,2103.07
"Boeing, USA",USA,,,*,1,2713,Aerospace,FT Global 500,2148.74,1,16,165.7,5.1,6.8,1297,-50,-49,3.1,42282,12,12,269.1,16,12,157100,-3,0,13.7,4,16,,29378,46,2128.92,2194.56,1876.28,1235.37
"Finmeccanica, Italy",Italy,,,,1,2717,Defence,Listed,1711.24,9,7,166.9,11.7,14.8,1025,26,42,7.0,14661,24,37,202.1,7,9,72537,16,26,23.6,-6,-15,47,3821,-31,1569.97,1605.51,1660.60,1551.31
"United Technologies, USA",USA,,,*,1,2713,Aerospace,FT Global 500,964.77,-12,-2,24.1,3.0,4.5,4003,-15,0,12.3,32463,-10,4,157.1,-3,11,206700,-7,-7,4.7,-5,5,,40674,22,1096.66,1039.07,946.81,846.49
"Thales, France",France,,,,1,2717,Defence,Listed,589.69,17,22,,5.2,7.3,-151,-123,-128,-1.3,11312,1,12,176.0,-1,0,64285,2,12,9.2,15,9,39,4063,-22,505.73,518.88,459.35,447.45
"SAFRAN, France",France,,,,1,2713,Aerospace,Listed,558.86,3,-11,137.3,5.9,10.1,407,1479,,4.3,9417,0,2,170.5,1,1,55248,-2,1,10.1,5,-12,47,6434,46,541.09,788.09,763.22,417.59
"Rolls-Royce, UK",UK,,,,1,2713,Aerospace,FT Global 500,471.00,-4,10,40.1,4.5,7.3,1174,37,60,11.3,10414,15,38,270.5,16,35,38500,-1,2,12.2,-3,8,64,10374,29,490.00,454.00,411.00,352.00
"Lockheed Martin, USA",USA,,,*,1,2713,Aerospace,FT Global 500,464.43,-39,-35,16.3,1.7,3.5,2857,-8,15,10.2,27983,6,12,199.9,10,12,140000,-4,0,3.3,-36,-35,,16324,-8,755.47,746.80,705.31,645.24
"Northrop Grumman, USA",USA,,,*,1,2717,Defence,FT Global 500,377.73,6,10,22.6,1.7,3.6,1669,,38,7.6,21853,4,11,181.1,6,13,120700,-2,-2,3.1,8,12,,10307,10,356.68,332.53,355.44,333.15
"Raytheon, USA",USA,,,*,1,2717,Defence,FT Global 500,349.87,9,14,18.6,2.3,3.4,1886,19,43,12.2,15407,7,10,205.4,5,11,75000,3,-2,4.7,6,15,21,10365,-10,320.14,310.86,287.32,311.47
"General Dynamics, USA",USA,,,*,1,2717,Defence,FT Global 500,322.00,10,28,14.2,1.6,2.8,2274,0,24,11.5,19804,9,25,216.0,10,13,91700,-1,11,3.5,10,15,16,14290,7,293.52,266.27,233.45,213.02
"Textron, USA",USA,,,*,1,2713,Aerospace,Listed,248.31,-16,6,393.1,3.8,6.1,63,-91,-92,1.0,6532,-29,-17,204.1,-4,12,32000,-26,-26,7.8,13,42,35,3084,28,294.76,226.02,217.35,201.87
"BAE Systems, UK",UK,,,,1,2717,Defence,FT Global 500,234.00,10,27,26.1,1.1,3.5,897,-38,-18,4.4,20374,22,50,216.7,17,31,94000,4,15,2.5,5,14,74,10531,-9,213.00,176.00,162.00,
"Rockwell Collins, USA",USA,,,*,1,2713,Aerospace,Listed,219.83,-10,12,40.3,7.9,11.4,545,-9,15,19.7,2768,-6,8,143.4,-1,6,19300,-5,2,11.4,-5,11,27,5398,26,244.60,214.87,172.77,150.47
"Dassault Aviation, France",France,,,,1,2713,Aerospace,Listed,214.87,-11,-12,73.9,7.1,10.2,291,-25,-23,9.6,3040,-9,-6,248.9,-7,-6,12215,-1,0,17.6,-10,-13,,4845,30,242.32,235.48,250.94,252.83
"Goodrich, USA",USA,,,*,1,2713,Aerospace,Listed,148.00,-16,-20,26.4,3.6,6.1,560,-16,21,13.5,4140,-5,7,172.5,-1,6,24000,-4,2,6.2,-12,-21,47,5572,32,175.86,173.39,222.92,165.27
"Elbit Systems, Israel",Israel,,,*,1,2717,Defence,Listed,134.22,17,82,93.1,7.7,11.5,144,10,85,8.2,1754,7,57,156.1,4,26,11238,3,27,11.9,13,47,54,1388,-20,114.55,78.64,57.11,44.53
"Zodiac Aerospace, France",France,,,,1,2713,Aerospace,Listed,121.93,2,5,58.8,6.2,9.2,207,0,-14,10.6,1960,9,2,116.2,16,3,16860,-5,-1,7.2,8,8,59,1894,43,119.64,129.00,98.51,
"SAAB, Sweden",Sweden,,,,1,2713,Aerospace,Listed,103.55,-17,5,87.0,4.8,5.7,119,2396,6,5.6,2138,4,13,163.9,5,12,13045,-1,2,7.9,-16,4,45,875,17,124.80,121.07,85.08,63.92
"MTU Aero Engines, Germany",Germany,,,,1,2713,Aerospace,Listed,103.33,25,34,47.8,4.5,8.9,216,-2,22,9.3,2320,-4,6,304.5,-9,-2,7618,5,8,13.6,19,25,68,1826,44,82.63,78.90,71.61,74.46
"RUAG, Switzerland",Switzerland,,,,1,2717,Defence,Unlisted,89.20,21,79,,8.8,13.6,-67,-284,-296,-6.6,1016,10,25,140.0,-4,2,7253,15,23,12.3,5,48,,,,73.92,50.68,45.65,28.70
"EMBRAER, Brazil",Brazil,,,*,1,2713,Aerospace,Listed,89.17,-27,-13,41.6,2.6,4.5,214,-36,-19,6.3,3385,-14,14,181.7,9,28,18628,-21,-11,4.8,-8,1,,2875,14,121.99,160.83,69.81,57.69
"Cobham, UK",UK,,,,1,2713,Aerospace,Listed,88.40,25,62,30.9,4.7,8.7,286,122,84,15.2,1880,28,62,156.1,14,35,12044,12,21,7.3,11,34,,2497,11,70.60,55.20,49.30,42.90
"Bombardier, Canada",Canada,,,*,1,2713,Aerospace,Listed,87.31,-18,-14,13.4,0.7,4.9,652,-21,37,5.4,11992,-2,16,190.7,4,10,62900,-6,6,1.4,-13,-19,72,4812,13,105.89,86.07,107.13,108.37
"Orbital Sciences, USA",USA,,,*,1,2717,Defence,Listed,67.96,114,411,224.0,9.8,13.8,30,-28,-29,4.4,697,-5,19,224.8,4,16,3100,-9,4,21.9,134,425,9,469,-2,31.83,11.55,5.97,3.90
"Meggitt, UK",UK,,,,1,2713,Aerospace,Listed,66.00,11,46,28.4,5.7,7.3,233,36,66,20.2,1151,-1,38,152.5,8,27,7546,-8,11,8.7,21,34,66,1862,33,59.40,52.90,37.50,30.77
"BE Aerospace, USA",USA,,,*,1,2713,Aerospace,Listed,63.53,-22,-1,34.7,5.3,6.8,183,,162,15.3,1200,-8,35,218.2,8,37,5500,-15,1,11.6,-8,0,51,1733,57,81.37,79.20,54.86,40.62
"Moog, USA",USA,,,*,1,2713,Aerospace,Listed,61.94,-9,23,66.7,5.4,9.8,93,-27,-5,8.1,1145,-3,27,114.4,-14,0,10005,13,29,6.2,-19,-2,40,892,24,67.87,63.54,42.66,26.97
"Kongsberg Gruppen, Norway",Norway,,,,1,2717,Defence,Listed,61.53,11,53,45.9,4.2,7.3,134,44,79,9.1,1481,25,71,282.9,14,30,5236,10,34,11.8,1,17,59,1460,62,55.64,47.81,36.13,21.23
"FLIR Systems, USA",USA,,,*,1,2717,Defence,Listed,56.54,1,33,26.1,8.0,11.6,216,23,93,30.5,710,7,56,341.7,0,23,2079,7,29,27.2,-5,4,41,2640,21,55.71,44.87,37.52,31.90
"Japan Aviation Electronics Industry, Japan",Japan,,,*,1,2713,Aerospace,Listed,51.73,-8,-5,,6.3,16.7,-12,-116,-119,-1.4,818,-21,-8,143.4,-22,,5707,1,,9.1,-9,,,339,-10,56.48,55.78,53.43,52.69
"Alliant Techsystems, USA",USA,,,*,1,2717,Defence,Listed,47.00,-7,15,14.8,1.6,4.6,317,33,38,10.7,2977,5,24,165.4,11,16,18000,-5,7,2.6,-2,9,,1427,-9,50.49,42.31,38.10,31.89
"Industria de Turbo Propulsores, Spain",Spain,,,*,1,2713,Aerospace,Unlisted,44.43,-31,-27,127.6,10.3,10.3,35,567,81,8.1,430,8,18,154.8,-3,2,2774,11,16,16.0,-38,-37,,,,64.39,62.09,45.05,72.64
2 Alternative energy (3),,,,,,,,,308.25,24.1,94.7,22.2,3.9,13.5,1385,37.0,194.9,17.3,8006,18.8,56.1,276.6,-1.7,-3.9,28944,20.8,44.8,10.7,2.8,29.9,,15593,-19.5,248.30,131.56,77.60,78.15
"Vestas Wind Systems, Denmark",Denmark,,,,2,0583,Renewable energy equipment,Listed,212.35,7,87,27.8,3.6,12.7,765,29,192,13.0,5896,10,45,283.0,-5,-7,20832,16,56,10.2,-8,25,25,6652,-30,198.13,105.73,73.66,76.68
"First Solar, USA",USA,,,*,2,0583,Renewable energy equipment,Listed,48.40,133,445,11.6,3.8,17.3,418,55,371,32.7,1279,66,327,272.2,24,49,4700,33,147,10.3,75,74,93,6597,,20.76,9.36,3.94,1.47
"SMA Solar Technology, Germany",Germany,,,,2,0583,Renewable energy equipment,Listed,47.50,61,,23.4,5.7,13.2,203,36,,24.4,830,37,,243.3,1,,3412,36,,13.9,19,,,2344,39,29.42,16.47,,
3 Automobiles & parts (72),,,,,,,,,55127.70,-11.6,-5.4,,4.7,12.7,-8056,-117.3,-113.8,-0.7,1177585,-16.1,-14.8,237.0,-11.4,-10.1,4616478,-7.8,-9.3,11.4,-5.8,0.7,,448192,-0.3,62246.78,59339.32,55457.17,53907.46
"Toyota Motor, Japan",Japan,,,*,3,3353,Automobiles,FT Global 500,6013.74,-6,6,,4.4,15.7,-4325,-125,-129,-3.2,136559,-22,-9,425.7,-23,-16,320808,1,10,18.7,-7,-4,45,75287,-18,6378.30,5925.31,5405.58,5023.10
"Volkswagen, Germany",Germany,,,,3,3353,Automobiles,FT Global 500,5144.38,-2,21,239.2,5.7,16.3,2151,-66,-49,2.4,90980,-8,-1,268.8,-9,-7,338499,2,6,15.2,-4,14,29,27042,-51,5265.22,4374.06,3767.21,3620.61
"General Motors, USA",USA,*,,*,3,3353,Automobiles,Unlisted,3757.51,-24,-17,,5.3,8.6,-5488,,,-7.7,71180,-23,-37,328.0,-14,-19,217000,-11,-23,17.3,-15,5,43,,,4953.87,5015.79,4086.94,4148.86
"Honda Motor, Japan",Japan,,,*,3,3353,Automobiles,FT Global 500,3746.28,-4,6,393.7,5.6,18.6,951,-83,-82,1.4,66593,-17,-4,366.1,-18,-17,181876,2,16,20.6,-6,-8,57,36407,-2,3910.99,3670.78,3394.99,3111.41
"Daimler, Germany",Germany,,,,3,3353,Automobiles,FT Global 500,3699.69,-6,-17,,5.3,22.0,-226,-110,-105,-0.3,70124,-18,-40,271.1,-13,-20,258628,-6,-25,14.3,0,10,,32797,9,3943.14,4342.96,4650.38,4924.03
"Robert Bosch, Germany",Germany,,,,3,3355,Auto parts,Unlisted,3179.03,-9,4,,9.4,14.3,-1012,-178,-148,-3.0,33917,-15,-14,123.5,-13,-17,274530,-3,4,11.6,-6,0,38,,,3479.34,3163.04,3019.10,2604.18
